1,66
41,68
12,33
32,17
11,57
70,60
30,2
24,66
65,55
12,13
47,48
7,54
78,33
38,48
2,70
75,55
27,53
76,32
15,46
79,31
59,50
77,2
27,79
9,62
79,44
2,63
66,17
7,43
27,37
54,50
58,72
47,59
42,30
50,64
54,23
18,16
64,34
24,15
23,37
5,42
11,74
59,2
47,75
21,64
5,53
74,20
69,13
69,36
46,12
12,76
74,76
73,42
77,55
33,5
2,36
74,59
60,37
46,12
27,58
46,15
79,61
33,58
61,80
38,10
43,45
42,27
46,23
18,36
40,29
30,31
66,46
30,74
25,15
2,32
72,69
77,58
47,45
8,79
35,71
45,41
76,8
13,42
12,45
12,39
3,36
35,10
2,17
5,77
71,7
54,56
30,66
46,30
72,20
45,72
23,0
55,49
23,61
65,15
23,77
17,29
74,25
35,17
25,71
35,47
40,57
15,27
42,23
8,23
28,33
1,0
62,22
57,68
56,1
58,2
78,53
57,24
24,31
78,16
59,29
67,62
61,35
42,41
36,44
6,41
40,15
19,69
26,62
2,66
54,58
65,65
26,8
30,10
40,80
49,19
73,4
6,30
16,48
52,52
0,57
75,32
27,9
60,57
41,65
21,3
70,62
57,37
77,44
65,19
66,27
59,42
73,15
58,6
42,46
19,42
25,7
36,57
74,56
55,62
16,77
48,33
28,36
7,35
1,23
43,13
3,14
20,31
34,6
33,27
57,7
45,67
19,47
66,71
24,26
23,31
44,28
78,5
21,78
34,21
47,36
75,72
0,56
23,53
1,62
42,4
38,32
3,76
38,77
9,25
8,0
80,73
35,33
61,77
62,48
7,44
34,24
21,15
78,4
41,67
38,8
73,69
36,17
23,55
32,3
72,13
25,2
65,72
44,65
57,79
38,77
62,42
46,70
20,7
26,24
68,70
22,40
17,19
66,51
39,11
54,31
78,37
8,57
77,26
64,66
40,21
6,14
25,32
28,57
36,5
35,40
19,69
69,49
48,41
55,22
79,22
25,29
51,0
8,70
60,36
71,79
57,23
23,26
2,5
26,67
28,69
14,8
31,7
57,30
4,27
26,52
26,62
78,30
44,80
33,55
56,74
64,45
58,28
61,75
48,36
31,63
17,42
79,11
5,60
59,25
38,50
33,62
49,67
11,53
58,75
18,24
66,41
64,76
35,5
60,33
51,41
46,69
30,39
52,31
55,11
80,62
7,57
54,48
10,24
46,11
8,5
51,34
33,55
22,24
79,34
35,64
45,32
26,47
75,79
16,24
69,18
74,13
47,60
27,45
20,79
63,69
80,11
32,4
32,25
11,34
4,58
52,66
64,17
19,49
67,1
4,51
60,39
10,20
46,56
56,75
8,69
79,11
13,43
57,20
64,76
62,28
50,45
5,77
41,58
63,70
10,48
